,,,Total,Total,Total,1912,1912,1913,1913,1914,1914,1915,1915,1916,1916,1917,1917,1918,1918,1918,1919,1919,1920,1920,1921,1921,1922,1922,1923,1923,1924,1924,1925,1925,1926,1926,1927,1927,1928,1928,1929,1929,1930,1930,1931,1931,1932,1932,1933,1933,1934,1934,1935,1935,1936,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1943,1943,1944,1944,1945,1945,1946,1946,1947,1947,1948,1948,1948,1949,1949,1950,1950,1951,1951,1952,1952,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1958,1958,1959,1959,1960,1960,1961,1961,1962,1962,1963,1963,1964,1964,1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
,,,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto
 09 007 ,Iztapalapa,Febrero,"1,872","1,853",19,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,1,1,,,,,1,1,,,,,,1,1,2,2,,,,,1,1,,,1,1,,,1,1,1,1,,,,,,,,,1,1,2,2,,,,,,,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,2,2,1,1,1,1,2,2,4,4,2,2,3,3,7,7,19,19,19,19,,26,26,,87,87,,"1,670","1,651",19
 09 007 ,Iztapalapa,Marzo,"2,095","2,074",21,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,,,1,1,1,1,,,1,1,,,1,1,,,1,1,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,2,2,,,,,,,,,2,2,,,,,,,1,1,,,,,,,1,1,2,2,,,,,1,1,,,1,1,,,,,,,2,2,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,1,1,3,3,2,2,,,2,2,4,4,2,2,1,1,12,12,10,10,18,18,21,21,,30,30,,108,108,,"1,850","1,829",21
 09 007 ,Iztapalapa,Abril,"2,049","2,028",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,,,1,1,,,,,3,3,,,,,1,1,1,1,1,1,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,2,2,,,,,,,2,2,1,1,1,1,3,3,3,3,5,5,1,1,1,1,3,3,1,1,4,4,2,2,9,9,15,15,22,22,27,27,,34,34,,108,108,,"1,777","1,756",21
 09 007 ,Iztapalapa,Mayo,"2,044","2,024",20,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,1,1,2,2,,,,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,,,,,2,2,,,2,2,,,,2,2,1,1,1,1,1,1,,,,,1,1,,,2,2,,,1,1,,,,,4,4,,,1,1,,,,,1,1,,,,,,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,1,1,,,2,2,,,,,,,,,1,1,1,1,1,1,,,1,1,3,3,3,3,7,7,17,17,25,25,28,28,,37,37,,136,136,,"1,743","1,723",20
 09 007 ,Iztapalapa,Junio,"2,044","2,017",27,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,2,2,2,2,,,,2,2,,,,,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,1,1,,,,,1,1,1,1,,,1,1,,,1,1,,,,,1,1,,,,,2,2,1,1,1,1,,,1,1,2,2,,,,,,,,,1,1,,,,,2,2,1,1,1,1,,,2,2,1,1,,,1,1,2,2,,,1,1,1,1,,,1,1,2,2,,,4,4,1,1,2,2,6,6,14,14,32,32,23,23,,39,39,,134,133,1,"1,741","1,715",26
 09 007 ,Iztapalapa,Julio,"2,110","2,099",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,,,,,,,,,,,1,1,,,1,1,1,1,,,1,1,,,1,1,1,1,,,2,2,,,,1,1,1,1,1,1,2,2,,,2,2,,,,,,,,,,,1,1,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,2,2,,,,,2,2,,,2,2,3,3,3,3,2,2,1,1,2,2,11,11,12,12,33,33,42,42,,54,54,,249,249,,"1,659","1,648",11
 09 007 ,Iztapalapa,Agosto,"2,210","2,183",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,1,1,,,,,,,1,1,,,,,2,2,1,1,,,,,,,,,,,3,3,,,,,,,,,,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1,,,,,3,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,3,3,2,2,,,,,1,1,1,1,2,2,2,2,,,2,2,,,,,2,2,1,1,,,,,1,1,2,2,5,5,6,6,8,8,13,13,29,29,36,36,,54,54,,392,390,2,"1,623","1,598",25
 09 007 ,Iztapalapa,Septiembre,"2,284","2,262",22,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,3,3,,,,,2,2,,,,,,,,,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,,,1,1,1,1,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,1,1,1,1,,,,,2,2,1,1,2,2,1,1,1,1,5,5,4,4,8,8,28,28,21,21,42,42,,81,80,1,493,491,2,"1,564","1,545",19
 09 007 ,Iztapalapa,Octubre,"2,250","2,221",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,2,2,,,,,1,1,,,1,1,1,1,1,1,,,,,,,,,2,2,,1,1,,,,,,,,,1,1,1,1,,,,,1,1,1,1,,,1,1,,,,,,,,,,,1,1,,,,,2,2,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,1,1,,,3,3,,,,,1,1,,,2,2,,,1,1,1,1,2,2,2,2,1,1,2,2,4,4,9,9,15,15,28,28,37,37,,65,65,,777,775,2,"1,272","1,245",27
 09 007 ,Iztapalapa,Noviembre,"1,988","1,979",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,2,2,1,1,,,1,1,,,2,2,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,,,1,1,2,2,1,1,1,1,2,2,1,1,4,4,5,5,8,8,10,10,16,16,27,27,28,28,,68,68,,"1,028","1,027",1,764,756,8
 09 007 ,Iztapalapa,Diciembre,"2,235","2,213",22,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,2,2,1,1,1,1,,,,,1,1,,,1,1,,,1,1,1,1,2,2,,,1,1,,,2,2,,,2,2,,,,,,,,,,,2,2,,,,1,1,,,,,1,1,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,2,2,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,,3,3,,,1,1,1,1,,,2,2,3,3,3,3,5,5,4,4,1,1,6,6,5,5,11,11,23,23,36,36,34,34,,73,73,,"1,703","1,693",10,289,277,12
 09 008 ,La Magdalena Contreras,Total,"3,662","3,650",12,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,,,1,1,,,1,1,,,3,3,,,1,1,,,,3,3,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,1,,,,,1,1,,,1,1,,,,,1,1,1,1,,,,,1,1,,,,,1,1,,,1,1,1,1,,,3,3,1,1,,,2,2,2,2,1,1,1,1,,,2,2,1,1,,,,,2,2,1,1,1,1,2,2,,,1,1,1,1,6,6,4,4,1,1,11,11,26,26,28,28,49,49,,52,52,,648,647,1,"2,772","2,761",11
 09 008 ,La Magdalena Contreras,Enero,330,328,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,3,3,2,2,5,5,,3,3,,5,5,,304,302,2
 09 008 ,La Magdalena Contreras,Febrero,276,275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,1,1,1,3,3,,5,5,,8,8,,249,248,1
 09 008 ,La Magdalena Contreras,Marzo,307,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,3,2,2,,1,1,,9,9,,282,282,
 09 008 ,La Magdalena Contreras,Abril,297,296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,6,6,,10,10,,9,9,,267,266,1
 09 008 ,La Magdalena Contreras,Mayo,288,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,5,5,4,4,,4,4,,15,15,,254,254,
 09 008 ,La Magdalena Contreras,Junio,311,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,3,3,1,1,5,5,,5,5,,17,17,,271,271,
 09 008 ,La Magdalena Contreras,Julio,313,311,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,3,3,6,6,,3,3,,25,25,,267,265,2
 09 008 ,La Magdalena Contreras,Agosto,302,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,4,4,1,1,3,3,,2,2,,45,45,,243,242,1
 09 008 ,La Magdalena Contreras,Septiembre,301,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,2,,,,,,,1,1,,,,,,,1,1,1,1,,,,,,,1,1,,,1,1,,,,,2,2,3,3,4,4,3,3,,2,2,,59,59,,219,219,
 09 008 ,La Magdalena Contreras,Octubre,324,323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,,5,5,,90,90,,220,219,1
 09 008 ,La Magdalena Contreras,Noviembre,310,308,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,3,5,5,4,4,6,6,,6,6,,146,146,,136,134,2
 09 008 ,La Magdalena Contreras,Diciembre,303,301,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,2,2,4,4,5,5,,6,6,,220,219,1,60,59,1
 09 009 ,Milpa Alta,Total,"2,215","2,198",17,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,1,1,,,,,3,3,1,1,,1,1,1,1,,,1,1,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,2,2,,,,,1,1,3,3,,,3,3,2,2,6,6,6,6,11,11,19,19,30,30,27,27,,29,29,,529,524,5,"1,527","1,515",12
 09 009 ,Milpa Alta,Enero,195,193,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,2,2,,6,6,,180,178,2
 09 009 ,Milpa Alta,Febrero,160,158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,1,1,1,1,1,1,1,1,,1,1,,5,5,,147,145,2
 09 009 ,Milpa Alta,Marzo,208,208,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,4,4,4,4,,5,5,,7,7,,182,182,
 09 009 ,Milpa Alta,Abril,165,164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,1,,3,3,,9,9,,148,147,1
 09 009 ,Milpa Alta,Mayo,183,182,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,1,1,1,1,1,1,,2,2,,13,13,,161,160,1
 09 009 ,Milpa Alta,Junio,194,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,1,1,3,3,6,6,,2,2,,14,14,,162,162,
 09 009 ,Milpa Alta,Julio,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,5,5,,2,2,,19,19,,147,147,
 09 009 ,Milpa Alta,Agosto,204,203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,7,7,1,1,,3,3,,36,36,,151,150,1
 09 009 ,Milpa Alta,Septiembre,175,171,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,1,1,1,1,,,1,1,2,2,,3,3,,40,40,,121,117,4
 09 009 ,Milpa Alta,Octubre,179,178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,2,2,,,2,2,2,2,,,,1,1,,86,85,1,83,83,
 09 009 ,Milpa Alta,Noviembre,173,171,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,4,4,,2,2,,117,116,1,39,38,1
 09 009 ,Milpa Alta,Diciembre,199,196,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,2,1,1,1,1,4,4,1,1,,3,3,,177,174,3,6,6,
 09 010 ,Álvaro Obregón,Total,"10,539","10,478",61,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,1,1,3,3,4,4,1,1,2,2,2,2,3,3,,,4,4,1,1,4,4,,,2,2,,,1,1,1,1,2,2,,,2,2,3,3,1,1,2,2,2,2,,2,2,4,4,2,2,5,5,2,2,4,4,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,,,1,1,1,1,1,1,,,3,3,,,,,,,1,1,,,2,2,,,1,1,1,1,,,1,1,1,1,,,,,1,1,4,4,1,1,,,1,1,2,2,3,3,3,3,4,4,3,3,2,2,4,4,7,7,1,1,3,3,3,3,2,2,2,2,9,9,7,7,5,5,7,7,7,7,8,8,18,18,29,29,46,46,95,95,115,115,,168,168,,"1,883","1,872",11,"8,005","7,955",50
 09 010 ,Álvaro Obregón,Enero,868,864,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,2,2,,,1,1,,,,,2,2,3,3,6,6,12,12,,10,10,,20,20,,801,797,4
 09 010 ,Álvaro Obregón,Febrero,822,817,5,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,3,3,1,1,2,2,8,8,7,7,,7,7,,20,20,,759,754,5
 09 010 ,Álvaro Obregón,Marzo,850,846,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,2,2,2,2,7,7,7,7,,9,9,,25,25,,782,778,4
 09 010 ,Álvaro Obregón,Abril,870,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,1,,,1,1,,,1,1,2,2,1,1,,,,,2,2,1,1,1,1,3,3,4,4,10,10,11,11,,11,11,,29,29,,784,784,
