,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2013,Agosto,,,,,,,,,,,,,,,,,,,,,,,,129,,
2013,Septiembre,,,,,,,,,,,,,,,,,,,,,,,,131,,
2013,Octubre,,,,,,,,,,,,,,,,,,,,,,,,153,,
2013,Noviembre,,,,,,,,,,,,,,,,,,,,,,,,151,1,
2013,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,165,2,
2014,Total,,,,,,,,,,,,,,,,,,,,,,,,,"1,552",
2014,Enero,,,,,,,,,,,,,,,,,,,,,,,,,152,
2014,Febrero,,,,,,,,,,,,,,,,,,,,,,,,,110,
2014,Marzo,,,,,,,,,,,,,,,,,,,,,,,,,138,
2014,Abril,,,,,,,,,,,,,,,,,,,,,,,,,99,
2014,Mayo,,,,,,,,,,,,,,,,,,,,,,,,,118,
2014,Junio,,,,,,,,,,,,,,,,,,,,,,,,,118,
2014,Julio,,,,,,,,,,,,,,,,,,,,,,,,,110,
2014,Agosto,,,,,,,,,,,,,,,,,,,,,,,,,144,
2014,Septiembre,,,,,,,,,,,,,,,,,,,,,,,,,129,
2014,Octubre,,,,,,,,,,,,,,,,,,,,,,,,,118,
2014,Noviembre,,,,,,,,,,,,,,,,,,,,,,,,,165,
2014,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,151,
2015,Total,,,,,,,,,,,,,,,,,,,,,,,,,,"1,580"
2015,Enero,,,,,,,,,,,,,,,,,,,,,,,,,,166
2015,Febrero,,,,,,,,,,,,,,,,,,,,,,,,,,136
2015,Marzo,,,,,,,,,,,,,,,,,,,,,,,,,,133
2015,Abril,,,,,,,,,,,,,,,,,,,,,,,,,,114
2015,Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,120
2015,Junio,,,,,,,,,,,,,,,,,,,,,,,,,,124
2015,Julio,,,,,,,,,,,,,,,,,,,,,,,,,,116
2015,Agosto,,,,,,,,,,,,,,,,,,,,,,,,,,117
